lat,lon,address,locality,state,postcode,territory_count,territory1,territory2,territory3,territory4,territory5
-12.4633,130.8434,DARWIN CITY NT 0800,DARWIN CITY,NT,0800,1,Larrakia,NA,NA,NA,NA
-12.3798,130.8738,ALAWA NT 0810,ALAWA,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.3656,130.8659,BRINKIN NT 0810,BRINKIN,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.3742,130.8813,CASUARINA NT 0810,CASUARINA,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.396,130.8491,COCONUT GROVE NT 0810,COCONUT GROVE,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.3892,130.872,JINGILI NT 0810,JINGILI,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.3363,130.888,LEE POINT NT 0810,LEE POINT,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.3585,130.889,LYONS NT 0810,LYONS,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.3916,130.8627,MILLNER NT 0810,MILLNER,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.3894,130.8816,MOIL NT 0810,MOIL,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.3583,130.8955,MUIRHEAD NT 0810,MUIRHEAD,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.3706,130.8775,NAKARA NT 0810,NAKARA,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.3902,130.8408,NIGHTCLIFF NT 0810,NIGHTCLIFF,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.3718,130.8482,RAPID CREEK NT 0810,RAPID CREEK,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.3574,130.8747,TIWI NT 0810,TIWI,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.3811,130.8847,WAGAMAN NT 0810,WAGAMAN,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.3715,130.8875,WANGURI NT 0810,WANGURI,NT,0810,1,Larrakia,NA,NA,NA,NA
-12.3902,130.8905,ANULA NT 0812,ANULA,NT,0812,1,Larrakia,NA,NA,NA,NA
-12.3481,130.9177,BUFFALO CREEK NT 0812,BUFFALO CREEK,NT,0812,1,Larrakia,NA,NA,NA,NA
-12.3876,130.9239,HOLMES NT 0812,HOLMES,NT,0812,1,Larrakia,NA,NA,NA,NA
-12.4003,130.9155,KARAMA NT 0812,KARAMA,NT,0812,1,Larrakia,NA,NA,NA,NA
-12.3677,130.9036,LEANYER NT 0812,LEANYER,NT,0812,1,Larrakia,NA,NA,NA,NA
-12.3927,130.9039,MALAK NT 0812,MALAK,NT,0812,1,Larrakia,NA,NA,NA,NA
-12.3989,130.8953,MARRARA NT 0812,MARRARA,NT,0812,1,Larrakia,NA,NA,NA,NA
-12.383,130.8951,WULAGI NT 0812,WULAGI,NT,0812,1,Larrakia,NA,NA,NA,NA
-12.4392,130.8569,BAYVIEW NT 0820,BAYVIEW,NT,0820,1,Larrakia,NA,NA,NA,NA
-12.438,130.8787,CHARLES DARWIN NT 0820,CHARLES DARWIN,NT,0820,1,Larrakia,NA,NA,NA,NA
-12.434,130.9072,COONAWARRA NT 0820,COONAWARRA,NT,0820,1,Larrakia,NA,NA,NA,NA
-12.4083,130.8255,EAST POINT NT 0820,EAST POINT,NT,0820,1,Larrakia,NA,NA,NA,NA
-12.4107,130.8822,EATON NT 0820,EATON,NT,0820,1,Larrakia,NA,NA,NA,NA
-12.4275,130.8366,FANNIE BAY NT 0820,FANNIE BAY,NT,0820,1,Larrakia,NA,NA,NA,NA
-12.4553,130.825,LARRAKEYAH NT 0820,LARRAKEYAH,NT,0820,1,Larrakia,NA,NA,NA,NA
-12.4117,130.8467,LUDMILLA NT 0820,LUDMILLA,NT,0820,1,Larrakia,NA,NA,NA,NA
-12.434,130.8442,PARAP NT 0820,PARAP,NT,0820,1,Larrakia,NA,NA,NA,NA
-12.4463,130.8481,STUART PARK NT 0820,STUART PARK,NT,0820,1,Larrakia,NA,NA,NA,NA
-12.4463,130.8316,THE GARDENS NT 0820,THE GARDENS,NT,0820,1,Larrakia,NA,NA,NA,NA
-12.4271,130.8595,THE NARROWS NT 0820,THE NARROWS,NT,0820,1,Larrakia,NA,NA,NA,NA
-12.4295,130.8834,WINNELLIE NT 0820,WINNELLIE,NT,0820,1,Larrakia,NA,NA,NA,NA
-12.4349,130.8505,WOOLNER NT 0820,WOOLNER,NT,0820,1,Larrakia,NA,NA,NA,NA
-12.7703,131.1419,ACACIA HILLS NT 0822,ACACIA HILLS,NT,0822,1,Larrakia,NA,NA,NA,NA
-13.9802,136.4613,ANGURUGU NT 0822,ANGURUGU,NT,0822,1,Warnindilyakwa,NA,NA,NA,NA
-13.9514,136.5593,ANINDILYAKWA NT 0822,ANINDILYAKWA,NT,0822,1,Warnindilyakwa,NA,NA,NA,NA
-11.7365444,130.4312584,BATHURST ISLAND NT 0822,BATHURST ISLAND,NT,0822,1,Tiwi,NA,NA,NA,NA
-12.5727,131.055,BEES CREEK NT 0822,BEES CREEK,NT,0822,1,Larrakia,NA,NA,NA,NA
-12.5381,130.6831,BELYUEN NT 0822,BELYUEN,NT,0822,1,Larrakia,NA,NA,NA,NA
-12.5213,131.2104,BLACK JUNGLE NT 0822,BLACK JUNGLE,NT,0822,2,Larrakia,Woolna,NA,NA,NA
-12.6955,130.9212,BLACKMORE NT 0822,BLACKMORE,NT,0822,1,Larrakia,NA,NA,NA,NA
-13.3898,131.8642,BURRUNDIE NT 0822,BURRUNDIE,NT,0822,1,Warray,NA,NA,NA,NA
-12.7912,130.6359,BYNOE NT 0822,BYNOE,NT,0822,1,Larrakia,NA,NA,NA,NA
-12.6362,130.5335,BYNOE HARBOUR NT 0822,BYNOE HARBOUR,NT,0822,1,Larrakia,NA,NA,NA,NA
-13.1857,130.9346,CAMP CREEK NT 0822,CAMP CREEK,NT,0822,1,Kungarakany,NA,NA,NA,NA
-12.5526,130.8601,CHANNEL ISLAND NT 0822,CHANNEL ISLAND,NT,0822,1,Larrakia,NA,NA,NA,NA
-12.451,130.876,CHARLES DARWIN NT 0822,CHARLES DARWIN,NT,0822,1,Larrakia,NA,NA,NA,NA
-12.8444,130.794,CHARLOTTE NT 0822,CHARLOTTE,NT,0822,1,Larrakia,NA,NA,NA,NA
-14.368,131.656,CLARAVALE NT 0822,CLARAVALE,NT,0822,1,Wagiman,NA,NA,NA,NA
-11.3341,132.1604,COBOURG NT 0822,COBOURG,NT,0822,1,Iwaidja,NA,NA,NA,NA
-12.9036,130.9266,COLLETT CREEK NT 0822,COLLETT CREEK,NT,0822,1,Larrakia,NA,NA,NA,NA
-12.5676,130.7174,COX PENINSULA NT 0822,COX PENINSULA,NT,0822,1,Larrakia,NA,NA,NA,NA
-12.7423,131.2476,DALY NT 0822,DALY,NT,0822,1,Woolna,NA,NA,NA,NA
-12.8959,131.0445,DARWIN RIVER DAM NT 0822,DARWIN RIVER DAM,NT,0822,1,Larrakia,NA,NA,NA,NA
-13.8592,131.5256,DOUGLAS-DALY NT 0822,DOUGLAS-DALY,NT,0822,1,Wagiman,NA,NA,NA,NA
-12.4774,130.9014,EAST ARM NT 0822,EAST ARM,NT,0822,1,Larrakia,NA,NA,NA,NA
-12.6347,135.7788,EAST ARNHEM NT 0822,EAST ARNHEM,NT,0822,1,Yolngu,NA,NA,NA,NA
-12.4891,130.9409,ELRUNDIE NT 0822,ELRUNDIE,NT,0822,1,Larrakia,NA,NA,NA,NA
-13.1315,131.0034,EVA VALLEY NT 0822,EVA VALLEY,NT,0822,1,Kungarakany,NA,NA,NA,NA
-13.0644,130.9517,FINNISS VALLEY NT 0822,FINNISS VALLEY,NT,0822,1,Kungarakany,NA,NA,NA,NA
-13.852,131.2967,FLEMING NT 0822,FLEMING,NT,0822,1,Wagiman,NA,NA,NA,NA
-12.7975,131.0688,FLY CREEK NT 0822,FLY CREEK,NT,0822,1,Larrakia,NA,NA,NA,NA
-12.541,131.0537,FREDS PASS NT 0822,FREDS PASS,NT,0822,1,Larrakia,NA,NA,NA,NA
-12.0061,135.5865,GALIWINKU NT 0822,GALIWINKU,NT,0822,1,Yolngu,NA,NA,NA,NA
-12.1818,131.0786,GLYDE POINT NT 0822,GLYDE POINT,NT,0822,1,Woolna,NA,NA,NA,NA
-11.4973068,133.4548484,GOULBURN ISLAND NT 0822,GOULBURN ISLAND,NT,0822,1,Maung,NA,NA,NA,NA
-12.1817,131.0173,GUNN POINT NT 0822,GUNN POINT,NT,0822,2,Larrakia,Woolna,NA,NA,NA
-12.4491,130.9081,HIDDEN VALLEY NT 0822,HIDDEN VALLEY,NT,0822,1,Larrakia,NA,NA,NA,NA
-12.3842,131.3928,HOTHAM NT 0822,HOTHAM,NT,0822,1,Woolna,NA,NA,NA,NA
-12.6867,131.1008,HUGHES NT 0822,HUGHES,NT,0822,1,Larrakia,NA,NA,NA,NA
-12.3709,131.2164,KOOLPINYAH NT 0822,KOOLPINYAH,NT,0822,1,Woolna,NA,NA,NA,NA
-12.5786,131.2273,LAMBELLS LAGOON NT 0822,LAMBELLS LAGOON,NT,0822,2,Larrakia,Woolna,NA,NA,NA
-13.2777,130.8767,LITCHFIELD PARK NT 0822,LITCHFIELD PARK,NT,0822,1,Kungarakany,NA,NA,NA,NA
-12.7457,131.0551,LIVINGSTONE NT 0822,LIVINGSTONE,NT,0822,1,Larrakia,NA,NA,NA,NA
-12.6777,131.1607,LLOYD CREEK NT 0822,LLOYD CREEK,NT,0822,1,Larrakia,NA,NA,NA,NA
-12.4423,130.7606,MANDORAH NT 0822,MANDORAH,NT,0822,1,Larrakia,NA,NA,NA,NA
